region,ville,eglise
ANGRÉ,ANGRÉ,ANGRE
ANGRÉ,ANGRÉ,E/CHINOISE
ABOBO AKEKOI,ABOBO AKEKOI,ABOBO AKEKOI
ABOBO AKEKOI,ABOBO AKEKOI,ABOBO MARAHOUE
ABOBO AKEKOI,ABOBO AKEKOI,BIABOU
ABOBO AKEKOI,ABOBO AKEKOI,ANYAMA
ABOBO AKEKOI,ABOBO AKEKOI,AZAGUIÉ
ABOBO AKEKOI,ABOBO AKEKOI,ALEPE
AGBOVILLE,AGBOVILLE,AGBOVILLE
AGBOVILLE,AGBOVILLE,ADZOPE
AGBOVILLE,AGBOVILLE,GBANGUIÉ 2
AGBOVILLE,AGBOVILLE,AKOUPE
ABENGOUROU,ABENGOUROU,ABENGOUROU
ABENGOUROU,ABENGOUROU,BONGOUANOU
ABENGOUROU,ABENGOUROU,ARRAH
ABENGOUROU,ABENGOUROU,AGNIBILEKRO
ABENGOUROU,ABENGOUROU,BONDOUKOU
COCODY,COCODY,COCODY
COCODY,COCODY,ADJAME
COCODY,COCODY,KOUMASSI
COCODY,COCODY,TREICHVILLE
COCODY,COCODY,BINGERVILLE
COCODY,COCODY,MAROC PAYS
COCODY,COCODY,NZEREKORE
TOIT-ROUGE,TOIT-ROUGE,TOIT ROUGE
TOIT-ROUGE,TOIT-ROUGE,SONGON
TOIT-ROUGE,TOIT-ROUGE,DABOU
TOIT-ROUGE,TOIT-ROUGE,JACQUEVILLE
TOIT-ROUGE,TOIT-ROUGE,GRAND LAHOU
YOP MAROC,YOP MAROC,MAROC
YOP MAROC,YOP MAROC,NIANGON
YOP MAROC,YOP MAROC,ATTINGUIE
YOP MAROC,YOP MAROC,ADAROME
YOP MAROC,YOP MAROC,SIKENSI
YOP MAROC,YOP MAROC,NDOUCI
DALOA,DALOA,DALOA
DALOA,DALOA,GONATE
DALOA,DALOA,ISSIA
DALOA,DALOA,ZOUGOUGBEU
DALOA,DALOA,GADOUAN
DALOA,DALOA,VAVOUA
DALOA,DALOA,ZUENOULA
DALOA,DALOA,SEGUELA
SAN-PEDRO,SAN-PEDRO,SAN-PEDRO
SAN-PEDRO,SAN-PEDRO,G-BEREBY
SAN-PEDRO,SAN-PEDRO,TOUIH
SAN-PEDRO,SAN-PEDRO,TABOU
SAN-PEDRO,SAN-PEDRO,SOUBRE
SAN-PEDRO,SAN-PEDRO,FRESCO
SAN-PEDRO,SAN-PEDRO,MÉAGUI
GONZAGUEVILLE,GONZAGUEVILLE,GONZAGUEVILLE
GONZAGUEVILLE,GONZAGUEVILLE,PORT-BOUËT
GONZAGUEVILLE,GONZAGUEVILLE,G. BASSAM
GONZAGUEVILLE,GONZAGUEVILLE,BONOUA
ADIAKE,ADIAKE,ADIAKE
ADIAKE,ADIAKE,ABOISSO
ADIAKE,ADIAKE,ASSINIE
ADIAKE,ADIAKE,MAFERE
ADIAKE,ADIAKE,EHANIA
ADIAKE,ADIAKE,AYAME
BOUAKÉ,BOUAKÉ,BOUAKE
BOUAKÉ,BOUAKÉ,BÉOUMI
BOUAKÉ,BOUAKÉ,SAKASSOU
BOUAKÉ,BOUAKÉ,DJEBONOUA
BOUAKÉ,BOUAKÉ,DAOUKRO
BOUAKÉ,BOUAKÉ,MBAHIAKRO
YAKRO,YAKRO,YAKRO
YAKRO,YAKRO,TIEBISSOU
YAKRO,YAKRO,BOUAFLE
YAKRO,YAKRO,SINFRA
YAKRO,YAKRO,OUME
TOUMODI,TOUMODI,TOUMODI
TOUMODI,TOUMODI,TAABO
TOUMODI,TOUMODI,DIMBOKRO
TOUMODI,TOUMODI,BOCANDA
DIVO,DIVO,DIVO
DIVO,DIVO,OGOUDOU
DIVO,DIVO,LAKOTA
DIVO,DIVO,HIRE
DIVO,DIVO,HERMANKONO
DIVO,DIVO,GAGNOA
MAN,MAN,MAN
MAN,MAN,TOUBA
MAN,MAN,BANGOLO
MAN,MAN,DANANE
MAN,MAN,DUEKOUE
MAN,MAN,GUIGLO
MAN,MAN,BLOLEQUIN
MAN,MAN,TOULEPLEU
MAN,MAN,KORHOGO
MAN,MAN,FERKESSEDOUGOU
MAN,MAN,ODIENNE
